epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,279.365,2.25642,2.22033,1.01625,0.82353,0.72505,0.75933,0.29252,2.10545,1.27753,0.96722,0.00332963,0.00332963,0.00332963
2,541.861,2.12424,1.3303,0.98025,0.78749,0.56999,0.6118,0.23885,2.17573,1.63206,0.98038,0.00633315,0.00633315,0.00633315
3,922.909,2.13011,1.24829,0.9834,0.73105,0.56433,0.61714,0.23156,2.23798,1.6952,0.99491,0.00900666,0.00900666,0.00900666
4,1310.99,2.0754,1.18409,0.97217,0.87083,0.83539,0.83395,0.34757,2.00361,1.05377,0.95232,0.008515,0.008515,0.008515
5,1655.96,1.99181,1.10103,0.9544,0.90252,0.83212,0.86716,0.38369,1.87075,0.96389,0.92871,0.00802,0.00802,0.00802
6,2096.71,1.92018,1.04517,0.94472,0.84032,0.77145,0.79039,0.3601,1.89852,1.08146,0.93451,0.007525,0.007525,0.007525
7,2451.87,1.86511,0.99932,0.93258,0.91449,0.87274,0.90607,0.4355,1.71935,0.87809,0.90444,0.00703,0.00703,0.00703
8,2795.16,1.83018,0.97118,0.92631,0.9262,0.88391,0.91923,0.46607,1.65498,0.81888,0.8968,0.006535,0.006535,0.006535
9,3193.91,1.7792,0.92981,0.92026,0.92751,0.89137,0.92776,0.48191,1.60406,0.79116,0.89051,0.00604,0.00604,0.00604
10,3445.5,1.74472,0.90387,0.91553,0.93298,0.90002,0.93605,0.5046,1.55186,0.75655,0.88466,0.005545,0.005545,0.005545
11,3714.7,1.64512,0.83413,0.92173,0.94036,0.912,0.94621,0.5265,1.4858,0.71673,0.87607,0.00505,0.00505,0.00505
12,3960.87,1.5843,0.79031,0.91271,0.94354,0.91541,0.94962,0.54274,1.4429,0.68838,0.87137,0.004555,0.004555,0.004555
13,4208.51,1.5299,0.75247,0.90336,0.94919,0.92324,0.95431,0.56091,1.39276,0.66311,0.86486,0.00406,0.00406,0.00406
14,4456.01,1.47893,0.72167,0.89483,0.95719,0.92784,0.9598,0.57828,1.34586,0.6349,0.85925,0.003565,0.003565,0.003565
15,4704.03,1.43496,0.68953,0.8872,0.95768,0.93179,0.96222,0.59092,1.31286,0.61714,0.85508,0.00307,0.00307,0.00307
16,4950.81,1.38525,0.66117,0.87813,0.96047,0.93461,0.96435,0.60136,1.28186,0.59991,0.85135,0.002575,0.002575,0.002575
17,5196.6,1.33891,0.63379,0.87209,0.96157,0.93784,0.96773,0.61038,1.25545,0.58571,0.84799,0.00208,0.00208,0.00208
18,5444.8,1.29159,0.61105,0.8634,0.96471,0.9386,0.96913,0.61715,1.23649,0.57661,0.84539,0.001585,0.001585,0.001585
19,5689.48,1.24767,0.58783,0.85906,0.96603,0.94021,0.97028,0.62264,1.22113,0.56838,0.84341,0.00109,0.00109,0.00109
20,5928.75,1.20586,0.56455,0.85196,0.96712,0.94096,0.97114,0.62738,1.20896,0.56178,0.84174,0.000595,0.000595,0.000595
