epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,414.461,2.19958,2.33862,1.01089,0.69245,0.69824,0.713,0.28108,2.00045,1.27713,0.94946,0.00332963,0.00332963,0.00332963
2,702.291,2.05291,1.38821,0.9698,0.82559,0.68375,0.75096,0.30852,2.03434,1.2356,0.9588,0.00633315,0.00633315,0.00633315
3,1106.57,2.05734,1.30773,0.97268,0.84064,0.6582,0.71455,0.2808,2.12792,1.31369,0.97363,0.00900666,0.00900666,0.00900666
4,1356.94,2.00909,1.24394,0.96243,0.83723,0.70155,0.75955,0.31725,1.93022,1.1819,0.949,0.008515,0.008515,0.008515
5,1802.56,1.94436,1.15518,0.95005,0.90552,0.80915,0.86433,0.39496,1.81705,0.97637,0.92497,0.00802,0.00802,0.00802
6,2046.92,1.8815,1.09963,0.9413,0.90149,0.83282,0.87755,0.41057,1.75379,0.92206,0.91386,0.007525,0.007525,0.007525
7,2303.29,1.83889,1.06061,0.93123,0.90729,0.83175,0.88172,0.42469,1.69002,0.89962,0.90449,0.00703,0.00703,0.00703
8,2592.3,1.79777,1.02526,0.92419,0.92042,0.84409,0.90035,0.46833,1.60664,0.85373,0.89296,0.006535,0.006535,0.006535
9,2832.85,1.74752,0.99056,0.91881,0.91301,0.85458,0.90866,0.46518,1.59578,0.8347,0.89105,0.00604,0.00604,0.00604
10,3080.42,1.71893,0.96362,0.91474,0.91785,0.87654,0.9245,0.49054,1.55182,0.7856,0.88415,0.005545,0.005545,0.005545
11,3418.01,1.60761,0.85848,0.91854,0.93468,0.8687,0.92656,0.52938,1.44705,0.74306,0.87469,0.00505,0.00505,0.00505
12,3657.59,1.53999,0.81385,0.90882,0.94051,0.88023,0.93513,0.54883,1.39535,0.71078,0.86838,0.004555,0.004555,0.004555
13,3896.7,1.47895,0.77544,0.8985,0.94369,0.88945,0.94062,0.56676,1.3385,0.67801,0.86257,0.00406,0.00406,0.00406
14,4293.62,1.43236,0.74042,0.89223,0.94691,0.89259,0.94457,0.58028,1.3033,0.65534,0.85786,0.003565,0.003565,0.003565
15,4665.96,1.37901,0.70285,0.88344,0.95107,0.89966,0.94719,0.59353,1.25983,0.63374,0.85304,0.00307,0.00307,0.00307
16,5073.91,1.33292,0.67453,0.87617,0.95256,0.90177,0.94869,0.60442,1.22861,0.61666,0.8496,0.002575,0.002575,0.002575
17,5451.63,1.28149,0.64638,0.86949,0.9531,0.90484,0.95052,0.61324,1.20251,0.60216,0.84656,0.00208,0.00208,0.00208
18,5689.24,1.23638,0.62226,0.86154,0.95478,0.90758,0.95216,0.6207,1.18246,0.59124,0.84413,0.001585,0.001585,0.001585
19,5949.24,1.18855,0.59704,0.85702,0.95557,0.91003,0.95348,0.62629,1.16612,0.58175,0.84217,0.00109,0.00109,0.00109
20,6273.91,1.14331,0.56982,0.84968,0.95585,0.91181,0.9545,0.63098,1.15379,0.57493,0.84066,0.000595,0.000595,0.000595
